trial_id,order_id,target,pics,position,focus,prompt,sentence,category,ikemap,ikemas
113,87,鼻,nose.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,鼻が池間の方に見えますよ。,filler,なうぬどぅ　池間ん　みーらいゆ？,はなぬどぅ　池間ん　みーらいゆーい。
7,88,蜘蛛,spider.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい蜘蛛を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーん°むーどぅ　みーたいよ。
136,89,目,eye.jpeg,utt-medial,out-of-focus,カニさんは目を見ましたか？,いいえ、マサイさんが目を見ましたよ。,filler,カニがどぅ　みーゆ　みーたいな？,あらん。マサイがどぅ　みーゆ　みーたいよ。
78,90,波,nami.jpeg,utt-initial,out-of-focus,波が西村の方に見えますか？,いいえ、波が池間の方に見えますよ。,comparison,なんぬどぅ　西村ん　みーらいゆーな？,あらん。なんぬどぅ　池間ん　みーらいゆーい。
89,91,猫,cat.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,猫が池間の方に見えますよ。,comparison,なうぬどぅ　池間ん　みーらいゆ？,まゆぬどぅ　池間ん　みーらいゆーい。
135,92,目,eye.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは目を見ましたよ。,filler,マサイや　なうゆどぅ　みーたいが？,マサイや　みーゆどぅ　みーたいよ。
28,93,舌,tongue.jpeg,utt-medial,out-of-focus,カニさんは舌を見ましたか？,いいえ、マサイさんが舌を見ましたよ。,experiment,カニがどぅ　ったう　みーたいな？,あらん。マサイがどぅ　ったう　みーたいよ。
93,94,藻,algae.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは藻を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　むーゆどぅ　みーたいよ。
44,95,巻貝,makigai.jpeg,phrase-medial,out-of-focus,カニさんは大きい巻貝を見ましたか？,いいえ、マサイさんが大きい巻貝を見ましたよ。,experiment,カニがどぅ　がばーんなう　みーたいな？,あらん。マサイがどぅ　がばーんなう　みーたいよ。
134,96,目,eye.jpeg,phrase-medial,out-of-focus,カニさんは大きい目を見ましたか？,いいえ、マサイさんが大きい目を見ましたよ。,filler,カニがどぅ　がばーみーゆ　みーたいな？,あらん。マサイがどぅ　がばーみーゆ　みーたいよ。
50,97,みの,mino.jpeg,phrase-medial,out-of-focus,カニさんは大きいみのを見ましたか？,いいえ、マサイさんが大きいみのを見ましたよ。,experiment,カニがどぅ　がばーんぬー　みーたいな？,あらん。マサイがどぅ　がばーんぬー　みーたいよ。
47,98,巻貝,makigai.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,巻貝が池間の方に見えますよ。,experiment,なうぬどぅ　池間ん　みーらいゆ？,んなぬどぅ　池間ん　みーらいゆーい。
85,99,猫,cat.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい猫を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーまゆーどぅ　みーたいよ。
53,100,みの,mino.jpeg,utt-initial,in-focus,何が池間の方に見えますか？,みのが池間の方に見えますよ。,experiment,なうぬどぅ　池間ん　みーらいゆ？,んぬぬどぅ　池間ん　みーらいゆーい。
25,101,舌,tongue.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい舌を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーったうどぅ　みーたいよ。
31,102,草,grass.jpeg,phrase-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは大きい草を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　がばーっさうどぅ　みーたいよ。
57,103,魚,fish.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは魚を見ましたよ。,experiment,マサイや　なうゆどぅ　みーたいが？,マサイや　っずーどぅ　みーたいよ。
99,104,縄,nawa.jpeg,utt-medial,in-focus,マサイさんは何を見ましたか？,マサイさんは縄を見ましたよ。,comparison,マサイや　なうゆどぅ　みーたいが？,マサイや　なーゆどぅ　みーたいよ。
